"Gene"
"AVP"
"MCF2L"
"REC8"
"PRKCA"
"LDLRAD4"
"SLC1A4"
"FAM124B"
"F2RL1"
"RP11-65J21.3"
"MIR193B"
"CD22"
"RBFOX2"
"CUX2"
"SAMD11"
"ALOX12"
"AC027763.2"
"RP11-589P10.7"
"PLEK"
"AC015969.3"
"VMP1"
"MIR21"
"CNR2"
"PRKCZ"
"KSR1"
"APBA2"
"SIT1"
"KCNQ1"
"KCNQ1OT1"
"SGK1"
"ZBTB16"
"SLC22A20"
"CRISP2"
"CACNA1I"
"RP11-867G23.13"
"CD248"
"CTB-147C22.9"
"KLK7"
"CORO1B"
"DMBT1"
"NTN1"
"TRAJ32"
"GPR114"
"LTBR"
"SCNN1A"
"CYP2E1"
"SPRN"
"AL161645.2"
"FAM134B"
"TAGLN3"
"XXbac-BPG181M17.5"
"HLA-DMA"
"LMO2"
"SLC45A4"
"HOXB-AS3"
"HOXB3"
"UCK2"
"ZNF101"
"MAP1A"
"LPCAT1"
"TBC1D10A"
"ATXN7L1"
"ENTPD4"
"RP11-459E5.1"
"EGR3"
"B3GNT3"
"TBCD"
"AGAP3"
"COL5A2"
"MAST4"
"CASP1"
"CARD16"
"CARD17"
"RNA5SP19"
"ITM2C"
"MYB"
"MYB-AS1"
"HHLA2"
"TRAJ60"
"AE000661.37"
"TRAJ23"
"RP4-799D16.1"
"C10orf99"
"IFFO2"
"RP11-1055B8.7"
"KCTD5"
"PNLDC1"
"PHF1"
"CUTA"
"ZC3H12D"
"SKI"
"ZNF714"
"SEPT9"
"TNF"
"CTD-2162K18.4"
"CTD-2162K18.3"
"ACOT11"
"SPOCK2"
"RP11-259N19.1"
"MAP3K8"
"ZNF217"
"ZC3H12A"
"CHST11"
"TPRG1"
"SLC17A9"
"TRAJ36"
"SLC26A4-AS1"
"SLC52A1"
"GYLTL1B"
"TRAJ21"
"MSI2"
"LRP5L"
"CLEC4A"
"AP4B1-AS1"
"BCL2L15"
"PMEPA1"
"SMURF1"
"CTA-211A9.5"
"VGLL4"
"SLC47A1"
"LHPP"
"DGKA"
"SNHG1"
"BNIP3"
"LAIR1"
"HCN2"
"EHD1"
"CES1P1"
"TSEN54"
"MAD1L1"
"MEOX1"
"PCSK6"
"ADAMTS17"
"MDGA1"
"GPRIN3"
"CAPN3"
"RP11-164J13.1"
"GALNT9"
"GPR124"
"BRF2"
"RPTOR"
"PALD1"
"ACOXL"
"RP1-65P5.1"
"RNF130"
"ZNF815P"
"ZNF831"
"SERTAD2"
"RP11-37L2.1"
"RP11-141M1.3"
"PCNXL2"
"NCOR2"
"ELK3"
"CLCN3"
"RBMXL2"
"NFIX"
"ACSF3"
"TNRC6C"
"LHX6"
"CUX1"
"ADAP1"
"COX19"
"EBF3"
"PASK"
"SP140"
"SP110"
"RAB4B-EGLN2"
"EGLN2"
"RTN4"
"PITPNM2"
"CCR4"
"RP11-66B24.2"
"RP11-66B24.7"
"RRBP1"
"LTBP3"
"RP1-15D23.2"
"ALPL"
"GNG7"
"CCND3"
"HMBOX1"
"SPC25"
"LSP1"
"C11orf89"
"CORO1A"
"AC091801.1"
"LY6G5C"
"HCG27"
"CTC1"
"CDK6"
"CTC-236F12.4"
"ZMIZ1"
"KLF6"
"DLL4"
"SYTL3"
"PDE4DIP"
"CTD-2561B21.3"
"LRP5"
"TSPAN32"
"C11orf21"
"ANKRD50"
"RP11-897M7.1"
"C15orf62"
"DNAJC17"
"GPSM2"
"AKNAD1"
"MBNL2"
"IGF1R"
"SORCS2"
"ELMO1"
"RP1-111C20.4"
"TAGAP"
"TPST1"
"WBP1L"
"SDCCAG3"
"NCK2"
"TRAJ28"
"CNDP2"
"SBNO2"
"KCNMB2"
"RP11-385J1.2"
"TRAF5"
"GALNT5"
"HDAC4"
"CXXC5"
"CISH"
"CTC-429C10.2"
"ZNF577"
"DLEU1"
"IGF2R"
"AIRN"
"RBMS1"
"CXCR4"
"NCAM1"
"SYNE2"
"ESR2"
"SLC25A15"
"CARD11"
"CLDN10"
"RP11-35J23.1"
"MED12L"
"GPR87"
"GALNT6"
"GHRLOS"
"GHRL"
"RP5-1033H22.2"
"BCAR3"
"CLTA"
"GNE"
"TRIM35"
"RPS11"
"SNORD35B"
"ASAP1"
"SPHK1"
"PRPSAP1"
"KRTAP5-AS1"
"KRTAP5-1"
