"overlapping.genes","min_smoothed_fdr","meandiff","no.cpgs"
"AVP",1.95569336886829e-17,0.0544291254010085,9
"MCF2L",3.32760997832296e-17,0.0614463562739541,7
"REC8",3.76863788338144e-17,0.055515598016423,14
"PRKCA",5.88445630118021e-13,-0.136339900931309,3
"LDLRAD4",7.74447705443559e-12,0.0709934586083209,7
"SLC1A4",1.03366486722306e-11,0.0724564975274812,7
"FAM124B",3.96225238351685e-11,0.0523142687368471,13
NA,6.08208338088605e-11,0.0508699177046091,9
"F2RL1",6.17140511345178e-11,0.051537028019694,8
NA,6.65740590321193e-11,0.0905519263961473,5
"RP11-65J21.3, MIR193B",1.07743788976869e-10,0.0606516620820925,8
"CD22",7.13758628043987e-10,0.0668856186097151,7
"RBFOX2",1.0811162782877e-09,0.0715955783366211,6
"CUX2",2.37683527199026e-09,0.055491046517907,8
"SAMD11",1.26245628455957e-08,-0.0684493549207346,12
"ALOX12, AC027763.2, RP11-589P10.7",1.3607443079242e-08,0.0630302317520365,16
"PLEK, AC015969.3",7.0341669821085e-08,0.0525260831422782,6
"VMP1, MIR21",1.08435415510264e-07,-0.124432549203083,11
"CNR2",1.61940131356112e-07,0.0671476005381323,5
"PRKCZ",1.88055872194725e-07,-0.120373596752807,2
"KSR1",2.16857123795593e-07,-0.073578003445845,9
NA,3.17899047142384e-07,0.0640856355787288,6
"APBA2",4.73395161287902e-07,0.053946678981642,8
"SIT1",5.99168954446526e-07,-0.0732775278199443,4
"KCNQ1, KCNQ1OT1",9.70228384799536e-07,0.0549618331318893,3
"KCNQ1",9.96885677124465e-07,0.0909223528775165,3
"PRKCZ",1.04008577638247e-06,-0.0662109455840612,7
NA,1.76140207066993e-06,-0.0605918759690259,6
"SGK1",1.89985791037076e-06,0.0517331852457507,11
"ZBTB16",3.17437746391958e-06,0.0646126876079581,5
"SLC22A20",3.29127979952339e-06,0.0562827546963954,7
"CRISP2",4.48285776426184e-06,-0.0640688630659776,9
"CACNA1I",4.61701108646546e-06,0.0640151511363644,5
"RP11-867G23.13, CD248",5.17366675707034e-06,0.051826287680758,10
"CTB-147C22.9, KLK7",5.45285552184515e-06,0.0505704050713111,11
"CORO1B",5.50579227754975e-06,-0.0748499891889105,3
"DMBT1",6.01270984690646e-06,0.0726634900896865,4
NA,6.2254504672506e-06,0.0799707786695538,3
"NTN1",8.8626316080077e-06,-0.0634289877253579,5
"TRAJ32",1.03844406670876e-05,-0.129726727942377,4
"GPR114",1.19751127010843e-05,0.0580769025961948,6
"LTBR, SCNN1A",1.24838895177109e-05,0.0584808205383589,9
"CYP2E1, SPRN, AL161645.2",1.27379244066306e-05,-0.138034908134729,11
NA,1.29261487509307e-05,0.0725989881353571,3
"FAM134B",1.35519409951873e-05,0.10520419521661,4
"TAGLN3",1.45157711310631e-05,0.0533048218625785,12
NA,1.61777609980603e-05,0.0513413885672229,8
"XXbac-BPG181M17.5, HLA-DMA",1.6257353486612e-05,0.0576528049082791,15
"LMO2",1.66088699046889e-05,0.0612938468567508,6
"SLC45A4",1.95212824186993e-05,0.0898217022732621,5
"HOXB-AS3, HOXB3",2.03498804055242e-05,0.0817510146229708,4
"UCK2",2.20921506426654e-05,0.0559170688950289,4
"ZNF101",2.60143323646508e-05,-0.0599983052117229,2
"MAP1A",2.84704318841832e-05,0.054459630664072,6
NA,2.92145148061645e-05,-0.0865722168555663,5
"LPCAT1",3.17676868522822e-05,0.0647427778061111,4
"TBC1D10A",3.33580777744612e-05,-0.062131694486611,3
"ATXN7L1",3.71266639541967e-05,0.0528612448727483,7
"ENTPD4",3.85678207025745e-05,-0.0698242922958598,3
NA,3.97884778752511e-05,0.0542434392512167,7
"RP11-459E5.1, EGR3",4.17507751428566e-05,0.0635985305410342,7
"B3GNT3",4.22128760463291e-05,0.0787282965315022,7
"TBCD",4.84014205100757e-05,0.0991944335555773,3
"AGAP3",5.47386164778048e-05,0.124970162559675,3
"COL5A2",5.80357260000378e-05,0.0532491115573324,6
"MAST4",6.37955519429932e-05,-0.0642133874065585,5
NA,6.73100786520308e-05,-0.0593106362120609,5
"CASP1, CARD16, CARD17",6.73100786520308e-05,-0.0656048979568707,4
"RNA5SP19",6.82252610297628e-05,0.0855816213367574,5
"RP11-459E5.1",7.05469402936908e-05,0.0548523234435013,9
