"overlapping.genes","min_smoothed_fdr","meandiff","no.cpgs"
"ITM2C",8.21308734459412e-05,0.0631846194640944,4
NA,8.3145733267362e-05,0.0753308118383763,5
"MYB, MYB-AS1",0.00010249001431368,0.0553291133001067,4
"HHLA2",0.000131747504437604,-0.0828949432101136,5
"TRAJ60, AE000661.37",0.000135764388053307,-0.168012409808514,2
"TRAJ23",0.000137048508562695,-0.0928115870157148,3
"RP4-799D16.1",0.00014568409948514,0.0753248514336305,2
"C10orf99",0.000148863008262785,0.0502554171974989,4
"IFFO2",0.000156812308776529,-0.0656452363484162,3
"RP11-1055B8.7",0.000205634968828511,0.0535689003621993,5
"KCTD5",0.000207236785494615,0.0541392998464003,4
"PNLDC1",0.000214251845851203,-0.0716626893135103,6
"PHF1, CUTA",0.000243752397192535,-0.0562717946420168,11
"ZC3H12D",0.000263370802570653,0.0515238115357103,8
"PRKCZ",0.000277059987815072,-0.0786621450993209,6
"SKI",0.00028693969905652,-0.0792253701534264,4
"ZNF714",0.000309390400016642,-0.140156986422138,6
"SEPT9",0.000313229968028434,0.0564104850956965,6
"TNF",0.000317660820123558,-0.0551982394249497,14
"CTD-2162K18.4, CTD-2162K18.3",0.000339818188789642,-0.0521633112983774,4
"ACOT11",0.000340828176697349,0.0728951055986777,6
"SPOCK2",0.000353587155917724,-0.0618645108543116,2
"RP11-259N19.1",0.000369482572098565,0.0590284268389797,8
"MAP3K8",0.000382868175206819,0.057354489509771,8
NA,0.000408715859715301,0.0627478925597705,3
NA,0.000453574245751232,-0.0520450875764915,4
"ZNF217",0.000465281903689189,-0.0886275796892851,3
"CORO1B",0.000473437516790188,-0.0602998181503637,6
"ZC3H12A",0.000489709255574,-0.0846845653530915,3
"CHST11",0.000523899176217549,0.0941049451234431,2
"TPRG1",0.00055604181810528,0.0630644738710523,3
"SLC17A9",0.000585743414253517,0.100597419971827,5
"TRAJ36",0.000629745515589115,-0.108232499189764,7
"SLC26A4-AS1",0.000729203202501825,-0.0695892351270853,3
NA,0.000790834866498223,0.0651487238692189,3
"SLC52A1",0.000813604075942759,0.052566395700542,5
"GYLTL1B",0.000848424130164138,0.0504492507681651,3
"TRAJ21",0.000987204088808456,-0.144529973440053,3
"MSI2",0.00101916691768093,0.0827897871982034,3
"MSI2",0.0010349039802077,0.0708009361759054,3
"LRP5L",0.00114408506667643,0.0596346582306836,5
"CLEC4A",0.00123320781253484,0.0609986766137579,3
NA,0.00127523416057295,0.0553211810243047,3
"AP4B1-AS1, BCL2L15",0.0013068172246445,-0.0599679803973725,5
"PMEPA1",0.00136729585939041,0.0501892437881791,5
"SMURF1",0.00136868395466538,-0.0601370736147417,6
"CTA-211A9.5",0.00140467031139339,0.0736720776558447,3
NA,0.00145095529762634,0.0880181378526132,3
NA,0.00151648885288366,-0.0865348528677942,4
"VGLL4",0.00162195674253943,0.0791336361771721,3
NA,0.00172064722741819,0.0721538987477581,3
NA,0.00173202509173064,0.0515174652984027,5
"SLC47A1",0.00187524454283304,0.0546657404601858,2
"LHPP",0.00194002351452932,0.0651226468380396,2
"DGKA",0.00202655043153856,-0.05166198834269,5
"SNHG1",0.00205515001245614,-0.0745175011038867,6
"BNIP3",0.00208449653416909,0.0701698621602757,5
NA,0.00208770072060326,0.0634316418867163,2
"LAIR1",0.00217464119767478,0.061106543441675,7
"HCN2",0.0024020619841535,0.0756846132141069,4
"EHD1",0.0024267078995708,-0.0580090589818821,3
"CES1P1",0.00255349183783223,-0.0580898859035615,6
"TSEN54",0.00261914287564095,0.0629745011343311,2
"MAD1L1",0.00274796474564212,0.0732961209077582,5
"MEOX1",0.00275824289355089,-0.0791391461264697,7
"PCSK6",0.00279113218618846,0.0948475019716628,2
"ADAMTS17",0.00281039917741861,0.0774446687217737,3
"MDGA1",0.0029063792000944,0.086967078414328,11
"GPRIN3",0.00294911650969142,-0.0563988833480666,4
"CAPN3, RP11-164J13.1",0.00307330421706455,0.0542999025113061,3
"GALNT9",0.00308170217582796,0.0524766603244571,6
"GPR124, BRF2",0.00313408039137838,0.0661882546026575,8
NA,0.00322830473987535,0.054405782855101,2
"RPTOR",0.00395569088294444,-0.0738365749871064,13
"PALD1",0.0044094516881539,0.0666281361881721,3
"ACOXL",0.00465583575413462,-0.0544114828437009,2
"RP1-65P5.1",0.0046963291069355,-0.0664488954355424,2
"RNF130",0.00472560304330777,0.0768365629935407,2
"ZNF815P",0.00490092458628061,-0.0628119806260388,2
"ZNF831",0.0049184753136742,0.0692103638014947,3
"SERTAD2",0.00503531021830992,0.0590631596514585,3
"RP11-37L2.1, RP11-141M1.3",0.00529786976239034,-0.0881567507698318,5
NA,0.00531231427043126,-0.0634590155819688,5
"PCNXL2",0.00539846893637715,0.0735521390068331,3
NA,0.00566580056358622,0.0782398664369338,2
"NCOR2",0.00603541237839843,0.0788951192930947,4
NA,0.0060798044400245,0.0975957298085404,2
"ELK3",0.00615365167315219,-0.0725543611412777,2
NA,0.00627570225837572,0.0649489131577292,3
"CLCN3",0.00633039700154477,0.0942921864156271,2
NA,0.00637218478821477,0.0647593038147257,2
"RBMXL2",0.00643559421763472,0.0664202302547776,7
"NFIX",0.00666464378923999,0.0515764560137546,2
"VMP1",0.00681930827689003,-0.0784117202598928,2
"ACSF3",0.00710136931971315,0.0514418937828791,5
"TNRC6C",0.00712953205458714,0.0804087618015241,7
"LHX6",0.00716104133209184,-0.110526763008974,8
"CUX1",0.00724815399555899,0.109069456861086,3
"ADAP1, COX19",0.00810346478728141,0.0688421609267893,3
"EBF3",0.00856039499820819,0.0540627168745662,2
NA,0.00856039499820819,-0.0882137819057695,2
"PASK",0.00885878378890521,-0.0746397184288965,4
"SP140, SP110",0.0089245850918833,-0.0648808053772781,6
NA,0.00905199453929029,0.0677540249086169,2
NA,0.00933190419414852,0.0671728581542837,4
"RAB4B-EGLN2, EGLN2",0.00949041531150966,-0.0719739841770317,2
"RTN4",0.00953087741179838,0.0540112794774411,2
"PITPNM2",0.00954592393436609,0.0680461566160201,4
"CCR4",0.0096275058074223,-0.067459679663974,2
"RP11-66B24.2, RP11-66B24.7",0.00979006493909079,0.0585492629014742,8
"RRBP1",0.0103297443017123,0.0683358154117025,2
"LTBP3",0.0106904577564993,-0.0512978515709635,4
NA,0.0109106661366821,0.0502665557168886,2
NA,0.0109487319950324,-0.101802331812003,2
"RP1-15D23.2",0.0110570327261988,-0.0591144267711464,2
NA,0.0115500936068906,0.0602992927347479,5
"ALPL",0.0118272401875514,0.0698561977876044,3
NA,0.0118835944501336,-0.138041198917602,2
"GNG7",0.0121199338413342,0.0635960534031313,7
NA,0.012318891978934,0.063997272005456,2
"CCND3",0.0124367547614372,0.0609146281707437,2
"HMBOX1",0.0125587045828492,-0.0536762198697825,3
NA,0.0130346319330512,0.0551759250648165,6
"SPC25",0.0132699915979326,0.0925144066378533,2
"LSP1, C11orf89",0.0134833920811861,0.106097248916613,3
NA,0.0137108661634512,-0.101167366831933,5
"CORO1A",0.0138660677604506,-0.0508993629096075,4
"AC091801.1",0.0139683991647942,0.0760127188078957,2
"LY6G5C",0.0146762449026527,0.0559077512797355,21
"HCG27",0.0148817705501251,-0.0560091135174872,7
NA,0.0151297413164928,0.0618058128467076,4
"CTC1",0.0151605012725557,0.0961269799682623,3
"CDK6",0.0158102361200326,0.0839292633914732,2
"CTC-236F12.4",0.0158584359501643,-0.0570449370906814,6
"ZMIZ1",0.0176852036633463,0.0637113142440382,3
"KLF6",0.0179469337515576,-0.0637095980974705,10
"DLL4",0.0179824372145264,0.054950442182449,2
NA,0.0181302525089342,0.0655764125971748,2
"SYTL3",0.0188675677393845,0.0780097471055058,4
"PDE4DIP",0.0193872147611371,0.0742245973841386,2
"RPTOR, CTD-2561B21.3",0.0195090522678887,-0.0554832879917573,4
NA,0.0195117234412317,0.0655159120237315,3
"MCF2L",0.0198138996448406,0.107793519829627,2
NA,0.0205843350630562,0.0546002074662518,2
"LRP5",0.0207128769804888,0.0512006498487003,5
"TSPAN32, C11orf21",0.0218843491195534,0.0525001331170177,27
"ANKRD50",0.022186055496857,0.0812652770527792,2
"RP11-897M7.1",0.0222160839947173,-0.0523219224394885,2
"C15orf62, DNAJC17",0.0224567612158432,0.0513356161713602,9
"GPSM2, AKNAD1",0.0226345976961917,0.0526559265631469,2
"MBNL2",0.0227366900451552,-0.0734159615014103,2
"IGF1R",0.0230324957981832,0.0566214492571014,2
"SORCS2",0.0231230281302223,0.11815754493491,2
"ELMO1",0.0237781643892346,0.0692209448914436,2
"RP1-111C20.4, TAGAP",0.0242572750487985,-0.0736925966148068,5
"TPST1",0.025553531075132,0.0653300610065447,2
"WBP1L",0.0257222532520379,0.0585965707235252,12
"SDCCAG3",0.0258649616496725,-0.0639388735111418,3
"NCK2",0.0272067684316525,-0.0624567850864298,2
"TRAJ28",0.0288201440757751,-0.108578029093942,2
"CNDP2",0.0289230345915535,-0.148155066189868,2
"SBNO2",0.0298487646819563,-0.0683704855506956,2
NA,0.030263271852893,-0.100952280178773,2
NA,0.0303355796882655,0.0634094377644578,2
"KCNMB2, RP11-385J1.2",0.0307094893820921,0.0509736324277352,4
"TRAF5",0.0308465259725016,-0.0544653349026635,3
"GALNT5",0.0315938547441964,0.0521704706590587,7
"HDAC4",0.0317535422622813,0.0857687784624431,3
"CXXC5",0.0327716623689166,0.0535525512282309,2
"CISH",0.0329096564039785,-0.0859860808056162,3
"CTC-429C10.2, ZNF577",0.0332464314749509,0.0515535352857866,14
"DLEU1",0.0334967761706577,-0.0615482423722652,8
"IGF2R, AIRN",0.0335877174251353,0.083992469515061,2
"RBMS1",0.0342768039698133,-0.107888900888865,2
"CXCR4",0.0343651051285122,0.081200714681904,2
"NCAM1",0.0345998094340493,0.109615199519601,2
"IFFO2",0.0346202867960755,-0.0575795640075387,2
NA,0.0352881637486521,0.0509408479794152,6
"SYNE2, ESR2",0.0353164425546647,0.0870565863034941,2
"SLC25A15",0.0355658086718725,0.0619188261623477,2
NA,0.0362160891658782,-0.0641446937939458,3
"CARD11",0.037430828069315,0.061386519588072,6
"CLDN10",0.03888605895497,-0.056265083823999,4
NA,0.038903922158975,0.0525736094361145,2
NA,0.0392117250789966,0.0565225312257709,8
"RP11-35J23.1",0.0410039128157164,0.0630954863090274,2
"MED12L, GPR87",0.0410042131255174,-0.0660860067168754,3
"GALNT6",0.0414626222705595,0.0656424499651001,2
"GHRLOS, GHRL",0.0420002071943435,-0.053720844641644,2
"RP5-1033H22.2, BCAR3",0.0420366621944246,0.0667282126060748,2
"HDAC4",0.0422171410583001,0.0617340237541747,3
"CLTA, GNE",0.0432690261379279,0.0620266051134564,2
"TRIM35",0.0443806444961957,-0.0694851222797554,2
NA,0.0444559011585471,-0.0771590206819586,2
"RPS11, SNORD35B",0.0467848377306535,-0.0696687994124012,3
"ASAP1",0.048085161321715,0.0560495129009742,3
"SPHK1, PRPSAP1",0.049031337309039,0.0528373762002476,2
"KRTAP5-AS1, KRTAP5-1",0.0499644144229203,0.0536995592675481,2
