"ProbeID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol","Entrez_Gene_ID","Mean_RRMS","Mean_SPMS","Delta_abs"
"ILMN_1754078",-7.11425829833333,7.52065179821429,-4.16222271249864,0.000111752332047931,0.999537311363859,-4.57662878402778,"CABP7",164633,10.0614583333333,2.947200035,7.11425829833333
"ILMN_1666057",5.52993441294444,-6.49471416839286,4.12064640673106,0.000128288721608842,0.999537311363859,-4.57693239784289,"REEP2",51308,-8.46969074444444,-2.9397563315,5.52993441294444
"ILMN_1773935",34.7047933888889,67.5950931785714,3.72017160043753,0.00046904860570509,0.999537311363859,-4.57984078439021,"TMEM165",55858,55.2005241111111,89.9053175,34.7047933888889
"ILMN_1743445",10.2925346061111,0.414250280357143,3.69520876892167,0.000507457627234816,0.999537311363859,-4.58002053112598,"FAM107A",11170,-3.26165493611111,7.03087967,10.2925346061111
"ILMN_1675632",-7.02834481922222,11.9970263225,-3.68424785540917,0.00052525814716045,0.999537311363859,-4.58009937797282,"C21orf37",54076,14.5071494722222,7.478804653,7.02834481922222
"ILMN_1739284",-6.34244150944444,-4.8850357725,-3.67527224242179,0.000540278145567403,0.999537311363859,-4.58016390717266,"SLC6A5",9152,-2.61987809055556,-8.9623196,6.34244150944444
"ILMN_1664364",6.22484155111111,1.08328888571429,3.62654576764686,0.000629260108727858,0.999537311363859,-4.58051362321636,"FLJ40288",286023,-1.13986881111111,5.08497274,6.22484155111111
"ILMN_1762711",-7.64808769833333,3.80638156607143,-3.59994154525463,0.000683587750198035,0.999537311363859,-4.58070411737478,"KRTAP10-4",386672,6.53784145833333,-1.11024624,7.64808769833333
"ILMN_1670576",-65.3235182222222,125.173189285714,-3.57128288963749,0.000747111443132814,0.999537311363859,-4.58090894677883,"IRF5",3663,148.503017222222,83.179499,65.3235182222222
"ILMN_1680010",15.5732855166667,39.6789160178571,3.52418048827086,0.00086391235721662,0.999537311363859,-4.58124470444975,"KIAA0753",9851,34.1170283333333,49.69031385,15.5732855166667
"ILMN_1693221",-4.61379500961111,3.10994510410714,-3.5004389985384,0.000929186998345782,0.999537311363859,-4.58141349666518,"CENPH",64946,4.75772903611111,0.1439340265,4.61379500961111
"ILMN_1797432",8.93311065222222,6.05376204428571,3.49271712594466,0.0009514105896001,0.999537311363859,-4.58146832945615,"AMAC1",146861,2.86336538277778,11.796476035,8.93311065222222
"ILMN_2083578",5.28385565311111,3.05875034357143,3.48487744102496,0.000974490054753725,0.999537311363859,-4.58152396477156,"CGB7",94027,1.17165903888889,6.455514692,5.28385565311111
"ILMN_1755392",7.36782653138889,10.2102413869643,3.47590766286629,0.0010015495574488,0.999537311363859,-4.58158757734677,"HERV-FRD",405754,7.57887476861111,14.9467013,7.36782653138889
"ILMN_1798108",10.3507259444444,28.2872418928571,3.46924642036532,0.00102210553268317,0.999537311363859,-4.58163478832701,"C6orf211",79624,24.5905540555556,34.94128,10.3507259444444
"ILMN_1753006",-6.11845555444444,0.0119250714285714,-3.3925670649819,0.00128950123884776,0.999537311363859,-4.58217634107645,"TACR2",6865,2.19708776944444,-3.921367785,6.11845555444444
"ILMN_1762605",-6.28858303888889,1.194338675,-3.38398255927464,0.00132326401162517,0.999537311363859,-4.58223674221822,"SERPINC1",462,3.44026118888889,-2.84832185,6.28858303888889
"ILMN_1756408",6.91456620194444,0.00850142232142858,3.37237090602109,0.00137026745555499,0.999537311363859,-4.58231836655615,"PARVA",55742,-2.46098650694444,4.453579695,6.91456620194444
