"logFC","AveExpr","t","P.Value","adj.P.Val","B","ProbeID"
-7.11425829833333,7.52065179821429,-4.16222271249864,0.000111752332047931,0.999537311363859,-4.57662878402778,"ILMN_1754078"
5.52993441294444,-6.49471416839286,4.12064640673106,0.000128288721608842,0.999537311363859,-4.57693239784289,"ILMN_1666057"
-5.91218494055556,-0.539905963571429,-3.94729626205842,0.000226553642355002,0.999537311363859,-4.57819586715128,"ILMN_1911471"
4.94598021277778,-3.43254772321429,3.90920374318166,0.000256326228798631,0.999537311363859,-4.57847275384918,"ILMN_1854793"
8.40981926944444,6.4262617625,3.8813992876849,0.000280401015163411,0.999537311363859,-4.57867463753789,"ILMN_1670757"
8.14935888277778,3.2626216125,3.74502227557723,0.000433588240023484,0.999537311363859,-4.57966160937236,"ILMN_1858815"
-10.9196409616667,12.0857028946429,-3.74166647951244,0.000438222064304089,0.999537311363859,-4.57968581821059,"ILMN_1671678"
-5.78752533955555,6.569502545,-3.72821873229079,0.000457272115641554,0.999537311363859,-4.57978278924233,"ILMN_1700624"
34.7047933888889,67.5950931785714,3.72017160043753,0.00046904860570509,0.999537311363859,-4.57984078439021,"ILMN_1773935"
10.2925346061111,0.414250280357143,3.69520876892167,0.000507457627234816,0.999537311363859,-4.58002053112598,"ILMN_1743445"
-7.02834481922222,11.9970263225,-3.68424785540917,0.00052525814716045,0.999537311363859,-4.58009937797282,"ILMN_1675632"
-6.34244150944444,-4.8850357725,-3.67527224242179,0.000540278145567403,0.999537311363859,-4.58016390717266,"ILMN_1739284"
5.79092793055555,-0.793375043928571,3.64361192250332,0.000596609056522131,0.999537311363859,-4.58039125493923,"ILMN_1870168"
-5.29525965194444,-4.10922805446429,-3.63749759652253,0.000608116302728708,0.999537311363859,-4.58043511097748,"ILMN_2176625"
6.22484155111111,1.08328888571429,3.62654576764686,0.000629260108727858,0.999537311363859,-4.58051362321636,"ILMN_1664364"
-7.64808769833333,3.80638156607143,-3.59994154525463,0.000683587750198035,0.999537311363859,-4.58070411737478,"ILMN_1762711"
-5.76160446333333,5.16880650357143,-3.59680993379074,0.000690269746830396,0.999537311363859,-4.58072651890001,"ILMN_1777539"
6.918024755,-2.73650462321429,3.59513189691363,0.000693875827566919,0.999537311363859,-4.58073852057407,"ILMN_2137382"
-65.3235182222222,125.173189285714,-3.57128288963749,0.000747111443132814,0.999537311363859,-4.58090894677883,"ILMN_1670576"
